NAME                       ID              SIZE      MODIFIED     
mistral-small:latest       8039dd90c113    14 GB     7 hours ago     
nomic-embed-text:latest    0a109f422b47    274 MB    22 hours ago    
minicpm-v:latest           c92bfad01205    5.5 GB    3 days ago      
llama3.2-vision:latest     085a1fdae525    7.9 GB    7 days ago      
phi4:latest                ac896e5b8b34    9.1 GB    7 days ago      
deepseek-r1:latest         0a8c26691023    4.7 GB    11 days ago     
qwq:latest                 46407beda5c0    19 GB     8 weeks ago     
gemma2:latest              ff02c3702f32    5.4 GB    3 months ago    
llama3.2:latest            a80c4f17acd5    2.0 GB    3 months ago    
qwen2.5-coder:latest       87098ba7390d    4.7 GB    4 months ago    
